Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D_0,D,Diode-dual,217.805,-86.36,0.0,top
D_1,D,Diode-dual,217.805,-88.9,0.0,top
D_2,D,Diode-dual,217.805,-91.44,0.0,top
D_3,D,Diode-dual,217.805,-93.98,0.0,top
D_4,D,Diode-dual,217.805,-83.82,0.0,top
D_5,D,Diode-dual,217.805,-81.28,0.0,top
D_6,D,Diode-dual,217.805,-78.74,0.0,top
D_7,D,Diode-dual,217.805,-76.2,0.0,top
D_8,D,Diode-dual,217.805,-73.66,0.0,top
D_9,D,Diode-dual,217.805,-71.12,0.0,top
D_10,D,Diode-dual,44.574,-78.994,180.0,top
D_11,D,Diode-dual,44.574,-81.534,180.0,top
D_12,D,Diode-dual,44.574,-84.074,180.0,top
D_13,D,Diode-dual,44.574,-86.614,180.0,top
D_14,D,Diode-dual,44.574,-89.154,180.0,top
D_15,D,Diode-dual,44.574,-91.694,180.0,top
D_16,D,Diode-dual,44.574,-94.234,180.0,top
D_17,D,Diode-dual,44.574,-96.774,180.0,top
D_18,D,Diode-dual,44.574749,-99.234346,180.0,top
D_19,D,Diode-dual,50.84,-102.108,180.0,top
D_20,D,Diode-dual,50.84,-104.648,180.0,top
D_21,D,Diode-dual,50.84,-107.188,180.0,top
D_22,D,Diode-dual,50.84,-109.728,180.0,top
D_23,D,Diode-dual,64.516,-102.108,180.0,top
D_24,D,Diode-dual,64.516,-104.648,180.0,top
D_25,D,Diode-dual,64.516,-107.188,180.0,top
D_26,D,Diode-dual,64.516,-109.728,180.0,top
D_27,D,Diode-dual,205.74,-93.98,0.0,top
D_28,D,Diode-dual,205.74,-91.44,0.0,top
D_29,D,Diode-dual,205.74,-88.9,0.0,top
D_30,D,Diode-dual,205.74,-86.36,0.0,top
D_31,D,Diode-dual,205.74,-83.82,0.0,top
K_0,KEYSW,SW_MX_PG1350_NoLed,44.005,-50.99,0.0,top
K_1,KEYSW,SW_MX_PG1350_NoLed,63.055,-50.99,0.0,top
K_2,KEYSW,SW_MX_PG1350_NoLed,82.105,-50.99,0.0,top
K_3,KEYSW,SW_MX_PG1350_NoLed,101.155,-50.99,0.0,top
K_4,KEYSW,SW_MX_PG1350_NoLed,120.205,-50.99,0.0,top
K_5,KEYSW,SW_MX_PG1350_NoLed,139.255,-50.99,0.0,top
K_6,KEYSW,SW_MX_PG1350_NoLed,158.305,-50.99,0.0,top
K_7,KEYSW,SW_MX_PG1350_NoLed,177.355,-50.99,0.0,top
K_8,KEYSW,SW_MX_PG1350_NoLed,196.405,-50.99,0.0,top
K_9,KEYSW,SW_MX_PG1350_NoLed,215.455,-50.99,0.0,top
K_10,KEYSW,SW_MX_PG1350_NoLed,48.7675,-70.04,0.0,top
K_11,KEYSW,SW_MX_PG1350_NoLed,67.8175,-70.04,0.0,top
K_12,KEYSW,SW_MX_PG1350_NoLed,86.8675,-70.04,0.0,top
K_13,KEYSW,SW_MX_PG1350_NoLed,105.9175,-70.04,0.0,top
K_14,KEYSW,SW_MX_PG1350_NoLed,124.9675,-70.04,0.0,top
K_15,KEYSW,SW_MX_PG1350_NoLed,144.0175,-70.04,0.0,top
K_16,KEYSW,SW_MX_PG1350_NoLed,163.0675,-70.04,0.0,top
K_17,KEYSW,SW_MX_PG1350_NoLed,182.1175,-70.04,0.0,top
K_18,KEYSW,SW_MX_PG1350_NoLed,201.1675,-70.04,0.0,top
K_19,KEYSW,SW_MX_PG1350_NoLed,58.2925,-89.09,0.0,top
K_20,KEYSW,SW_MX_PG1350_NoLed,77.3425,-89.09,0.0,top
K_21,KEYSW,SW_MX_PG1350_NoLed,96.3925,-89.09,0.0,top
K_22,KEYSW,SW_MX_PG1350_NoLed,115.4425,-89.09,0.0,top
K_23,KEYSW,SW_MX_PG1350_NoLed,134.4925,-89.09,0.0,top
K_24,KEYSW,SW_MX_PG1350_NoLed,153.5425,-89.09,0.0,top
K_25,KEYSW,SW_MX_PG1350_NoLed,172.5925,-89.09,0.0,top
K_26,KEYSW,SW_MX_PG1350_NoLed,191.6425,-89.09,0.0,top
K_27,KEYSW,SW_MX_PG1350_NoLed,77.3425,-108.14,0.0,top
K_28,KEYSW,SW_MX_PG1350_NoLed,96.3925,-108.14,0.0,top
K_29,KEYSW,MX-Alps-Choc-2U,124.9675,-108.14,0.0,top
K_30,KEYSW,SW_MX_PG1350_NoLed,153.5425,-108.14,0.0,top
K_31,KEYSW,SW_MX_PG1350_NoLed,172.5925,-108.14,0.0,top
TP1,Reset_Pins,ResetSW,194.31,-109.22,-90.0,top
SW1,SW_SPDT,SW_Slide_1P2T_CK_OS102011MS2Q,189.865,-111.22,90.0,top
U1,nice_nano,nice_nano,212.09,-109.22,180.0,top
